,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
175,27.0,28.0,31.0,29.0,18.0,16.0,30.0,44.0,32.0,35.0,44.0,30.0,30.0,20.0,36.0,33.0,33.0
176,35.0,23.0,32.0,24.0,33.0,31.0,39.0,27.0,26.0,30.0,31.0,28.0,26.0,28.0,36.0,34.0,37.0
177,35.0,27.0,24.0,42.0,25.0,28.0,26.0,36.0,29.0,32.0,26.0,26.0,32.0,42.0,45.0,37.0,38.0
178,38.0,34.0,40.0,26.0,34.0,33.0,30.0,34.0,34.0,24.0,30.0,32.0,44.0,29.0,29.0,36.0,35.0
179,29.0,32.0,34.0,28.0,32.0,37.0,30.0,36.0,28.0,29.0,43.0,41.0,31.0,29.0,23.0,40.0,28.0
180,39.0,36.0,34.0,35.0,32.0,29.0,41.0,30.0,34.0,33.0,39.0,30.0,36.0,41.0,33.0,41.0,32.0
181,36.0,40.0,34.0,21.0,24.0,22.0,30.0,36.0,33.0,26.0,32.0,33.0,36.0,29.0,34.0,43.0,40.0
182,28.0,22.0,31.0,30.0,35.0,34.0,28.0,28.0,40.0,30.0,39.0,27.0,28.0,37.0,40.0,49.0,39.0
183,25.0,31.0,36.0,41.0,26.0,34.0,35.0,42.0,39.0,49.0,26.0,28.0,38.0,32.0,37.0,41.0,35.0
184,35.0,41.0,35.0,40.0,43.0,44.0,32.0,26.0,30.0,33.0,40.0,40.0,38.0,30.0,39.0,42.0,37.0
185,45.0,51.0,40.0,52.0,48.0,37.0,50.0,41.0,35.0,36.0,28.0,36.0,37.0,47.0,41.0,53.0,46.0
186,33.0,42.0,27.0,43.0,39.0,31.0,34.0,35.0,40.0,44.0,37.0,27.0,40.0,41.0,29.0,30.0,30.0
187,34.0,46.0,45.0,27.0,34.0,29.0,33.0,36.0,35.0,40.0,24.0,43.0,34.0,36.0,22.0,43.0,28.0
188,39.0,48.0,26.0,41.0,39.0,52.0,37.0,38.0,41.0,37.0,30.0,31.0,34.0,42.0,36.0,56.0,44.0
189,30.0,35.0,36.0,39.0,41.0,48.0,31.0,34.0,29.0,33.0,29.0,44.0,34.0,45.0,33.0,35.0,39.0
190,30.0,38.0,26.0,47.0,41.0,36.0,33.0,31.0,37.0,49.0,51.0,36.0,39.0,36.0,31.0,37.0,49.0
